Delegacia,Furtos na região,Roubo de carga,Roubos,Roubo de Veiculo,Furto de veiculo,Latrocinios,Homicídio doloso por acidente de trânsito,Homicídio Culposo por acidente de Trânsito,Homicídio Culposo,Tentativa de Homicídio,Lesão Corporal seguida de morte,Lesão Corporal Dolosa,Lesão Corporal Culposa por acidente de trânsito,Lesão Corporal Culposa,Estupro,Estupro de vulnerável,Roubo de veiculos,Roubo a Banco ,Ano
Sé,8442,53,3201,0,118,14,0,4,1,9,1,334,106,9,16,7,20,0,2020
Sé,12997,152,3404,2,142,15,0,11,0,15,1,444,142,13,10,8,25,0,2019
BomRetiro,3744,7,970,1,105,4,0,0,0,1,0,122,78,6,4,6,16,0,2020
BomRetiro,4863,14,1063,1,97,3,0,2,0,2,0,177,85,7,8,5,19,0,2019
CamposElísios,8355,10,4403,1,98,5,0,0,0,10,0,295,90,9,7,8,18,1,2020
CamposElísios,13098,20,4958,0,150,7,0,1,0,10,0,430,128,5,10,13,20,0,2019
Consolação,4286,4,1649,0,170,2,0,3,0,5,0,158,49,3,5,2,9,0,2020
Consolação,6535,2,2691,0,260,3,0,1,0,2,0,229,92,4,8,12,13,0,2019
Aclimação,2229,3,870,0,320,1,0,2,0,2,1,263,77,5,5,3,16,0,2020
Aclimação,3295,5,1190,0,441,5,0,1,1,5,0,312,140,7,14,5,21,1,2019
Cambuci,1627,7,769,0,456,3,0,1,0,3,0,243,85,2,3,11,78,0,2020
Cambuci,2084,11,804,1,670,1,0,2,0,6,0,316,143,17,6,8,80,0,2019
Lapa,2445,14,1132,2,581,3,0,1,0,4,0,151,121,9,4,7,67,0,2020
Lapa,3485,15,1315,0,1090,10,0,3,0,9,0,185,141,11,9,8,108,1,2019
Brás,3977,15,1194,0,277,7,0,3,1,7,0,276,137,12,5,6,51,0,2020
Brás,4419,34,1276,0,364,6,0,10,0,6,1,310,196,16,4,11,54,0,2019
Carandiru,2771,54,1238,0,406,5,0,3,0,1,0,182,131,41,8,10,98,0,2020
Carandiru,3973,39,1443,0,733,6,0,7,0,3,0,238,186,45,9,12,90,0,2019
PessoacomDeficiência,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020
PessoacomDeficiência,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,2019
PenhadeFrança,1514,18,1192,1,467,6,0,6,1,11,0,349,172,15,4,16,142,0,2020
PenhadeFrança,2049,34,1263,1,959,1,0,4,0,3,0,362,220,21,13,27,176,0,2019
SantoAmaro,3071,10,1846,0,388,1,0,6,0,8,1,255,177,53,4,4,145,1,2020
SantoAmaro,4918,6,2185,1,679,5,0,7,2,12,0,264,246,41,16,7,187,1,2019
Pari,5947,59,1849,0,288,17,0,4,1,9,0,314,140,24,9,11,57,1,2020
Pari,7180,144,2037,2,310,6,0,1,0,9,0,351,226,15,15,3,73,1,2019
CasaVerde,2211,17,1123,0,504,4,0,3,0,4,0,221,138,10,17,13,131,1,2020
CasaVerde,3686,27,1400,1,555,6,0,6,0,6,1,414,262,46,10,11,220,1,2019
Pinheiros,4126,9,1670,1,499,2,0,2,0,9,1,175,121,10,5,5,100,0,2020
Pinheiros,8755,10,2591,0,738,5,0,3,1,3,1,304,246,23,8,9,117,2,2019
ItaimBibi,3364,7,1051,0,260,1,0,2,0,2,0,124,120,5,6,7,59,1,2020
ItaimBibi,5595,6,1175,1,354,1,0,1,0,3,0,143,186,8,8,3,46,1,2019
VilaClementino,2256,5,1223,1,675,2,0,1,1,0,1,480,221,27,9,11,198,2,2020
VilaClementino,3169,8,1372,1,824,3,0,2,1,9,0,343,194,56,7,10,303,1,2019
Ipiranga,1450,21,971,0,565,1,0,1,0,3,0,272,102,13,2,4,238,0,2020
Ipiranga,1824,33,1109,0,838,1,0,3,1,4,0,266,152,19,3,8,384,0,2019
AltodaMoóca,565,7,221,0,137,1,0,1,0,0,0,67,53,8,0,3,26,0,2020
AltodaMoóca,842,10,224,1,138,1,0,1,0,1,0,85,62,25,0,1,27,0,2019
