pais	ano	sexo	faixa etaria	suicidios	populacao	suicides/100k pop	country-year	HDI_for_year	 gdp_for_year 	gdp_per_capita 	geracao
Argentina	2010	masculino	75+ anos	6	52333	11.47	Armenia2010	0.721	9,260,284,938	3460	Silent
Argentina	2010	masculino	55-74 anos	13	193100	6.73	Armenia2010	0.721	9,260,284,938	3460	Silent
Argentina	2010	masculino	25-34 anos	10	202936	4.93	Armenia2010	0.721	9,260,284,938	3460	Generation X
Argentina	2010	masculino	35-54 anos	15	346739	4.33	Armenia2010	0.721	9,260,284,938	3460	Generation X
Argentina	2010	masculino	15-24 anos	8	252152	3.17	Armenia2010	0.721	9,260,284,938	3460	Millenials
Argentina	2010	feminino	55-74 anos	7	253182	2.76	Armenia2010	0.721	9,260,284,938	3460	Silent
Argentina	2010	feminino	75+ anos	2	81770	2.45	Armenia2010	0.721	9,260,284,938	3460	Silent
Argentina	2010	feminino	5-14 anos	2	167142	1.2	Armenia2010	0.721	9,260,284,938	3460	Generation Z
Argentina	2010	feminino	35-54 anos	5	427571	1.17	Armenia2010	0.721	9,260,284,938	3460	Generation X
Argentina	2010	masculino	5-14 anos	2	191722	1.04	Armenia2010	0.721	9,260,284,938	3460	Generation Z
Argentina	2010	feminino	15-24 anos	2	270727	0.74	Armenia2010	0.721	9,260,284,938	3460	Millenials
Argentina	2010	feminino	25-34 anos	1	236851	0.42	Armenia2010	0.721	9,260,284,938	3460	Generation X
Argentina	2011	feminino	75+ anos	6	86643	6.92	Armenia2011	0.723	10,142,111,334	3798	Silent
Argentina	2011	masculino	35-54 anos	23	341199	6.74	Armenia2011	0.723	10,142,111,334	3798	Generation X
Argentina	2011	masculino	55-74 anos	11	194982	5.64	Armenia2011	0.723	10,142,111,334	3798	Boomers
Argentina	2011	masculino	25-34 anos	8	209914	3.81	Armenia2011	0.723	10,142,111,334	3798	Millenials
Argentina	2011	masculino	75+ anos	2	55565	3.6	Armenia2011	0.723	10,142,111,334	3798	Silent
Argentina	2011	masculino	15-24 anos	7	245227	2.85	Armenia2011	0.723	10,142,111,334	3798	Millenials
Argentina	2011	feminino	15-24 anos	4	259823	1.54	Armenia2011	0.723	10,142,111,334	3798	Millenials
Argentina	2011	feminino	55-74 anos	3	256541	1.17	Armenia2011	0.723	10,142,111,334	3798	Boomers
Argentina	2011	feminino	35-54 anos	3	422179	0.71	Armenia2011	0.723	10,142,111,334	3798	Generation X
Argentina	2011	feminino	25-34 anos	0	244912	0	Armenia2011	0.723	10,142,111,334	3798	Millenials
Argentina	2011	feminino	5-14 anos	0	164004	0	Armenia2011	0.723	10,142,111,334	3798	Generation Z
Argentina	2011	masculino	5-14 anos	0	189377	0	Armenia2011	0.723	10,142,111,334	3798	Generation Z
Argentina	2012	masculino	75+ anos	5	56598	8.83	Armenia2012	0.728	10,619,320,049	3773	Silent
Argentina	2012	masculino	35-54 anos	26	376743	6.9	Armenia2012	0.728	10,619,320,049	3773	Generation X
Argentina	2012	masculino	55-74 anos	11	212482	5.18	Armenia2012	0.728	10,619,320,049	3773	Boomers
Argentina	2012	masculino	25-34 anos	11	245443	4.48	Armenia2012	0.728	10,619,320,049	3773	Millenials
Argentina	2012	feminino	75+ anos	3	91237	3.29	Armenia2012	0.728	10,619,320,049	3773	Silent
Argentina	2012	masculino	15-24 anos	5	255119	1.96	Armenia2012	0.728	10,619,320,049	3773	Millenials
Argentina	2012	feminino	35-54 anos	7	428953	1.63	Armenia2012	0.728	10,619,320,049	3773	Generation X
Argentina	2012	feminino	25-34 anos	4	259768	1.54	Armenia2012	0.728	10,619,320,049	3773	Millenials
Argentina	2012	feminino	55-74 anos	4	273394	1.46	Armenia2012	0.728	10,619,320,049	3773	Boomers
Argentina	2012	feminino	15-24 anos	2	255088	0.78	Armenia2012	0.728	10,619,320,049	3773	Millenials
Argentina	2012	masculino	5-14 anos	1	192409	0.52	Armenia2012	0.728	10,619,320,049	3773	Generation Z
Argentina	2012	feminino	5-14 anos	0	167066	0	Armenia2012	0.728	10,619,320,049	3773	Generation Z
Argentina	2013	masculino	75+ anos	7	58640	11.94	Armenia2013	0.731	11,121,465,767	3957	Silent
Argentina	2013	feminino	75+ anos	6	95093	6.31	Armenia2013	0.731	11,121,465,767	3957	Silent
Argentina	2013	masculino	55-74 anos	11	218063	5.04	Armenia2013	0.731	11,121,465,767	3957	Boomers
Argentina	2013	feminino	55-74 anos	11	280566	3.92	Armenia2013	0.731	11,121,465,767	3957	Boomers
Argentina	2013	masculino	25-34 anos	9	250487	3.59	Armenia2013	0.731	11,121,465,767	3957	Millenials
Argentina	2013	masculino	35-54 anos	13	370440	3.51	Armenia2013	0.731	11,121,465,767	3957	Generation X
Argentina	2013	feminino	35-54 anos	6	423841	1.42	Armenia2013	0.731	11,121,465,767	3957	Generation X
Argentina	2013	masculino	15-24 anos	2	243687	0.82	Armenia2013	0.731	11,121,465,767	3957	Millenials
Argentina	2013	masculino	5-14 anos	1	193754	0.52	Armenia2013	0.731	11,121,465,767	3957	Generation Z
Argentina	2013	feminino	15-24 anos	1	242386	0.41	Armenia2013	0.731	11,121,465,767	3957	Millenials
Argentina	2013	feminino	25-34 anos	0	265616	0	Armenia2013	0.731	11,121,465,767	3957	Millenials
Argentina	2013	feminino	5-14 anos	0	168091	0	Armenia2013	0.731	11,121,465,767	3957	Generation Z
Argentina	2014	masculino	75+ anos	9	60108	14.97	Armenia2014	0.733	11,609,512,940	4142	Silent
Argentina	2014	feminino	75+ anos	6	98118	6.12	Armenia2014	0.733	11,609,512,940	4142	Silent
Argentina	2014	masculino	55-74 anos	12	224430	5.35	Armenia2014	0.733	11,609,512,940	4142	Boomers
Argentina	2014	masculino	35-54 anos	13	363362	3.58	Armenia2014	0.733	11,609,512,940	4142	Generation X
Argentina	2014	masculino	25-34 anos	6	253461	2.37	Armenia2014	0.733	11,609,512,940	4142	Millenials
Argentina	2014	feminino	55-74 anos	4	288822	1.38	Armenia2014	0.733	11,609,512,940	4142	Boomers
Argentina	2014	masculino	15-24 anos	3	230760	1.3	Armenia2014	0.733	11,609,512,940	4142	Millenials
Argentina	2014	feminino	15-24 anos	2	227895	0.88	Armenia2014	0.733	11,609,512,940	4142	Millenials
Argentina	2014	feminino	5-14 anos	1	171332	0.58	Armenia2014	0.733	11,609,512,940	4142	Generation Z
Argentina	2014	feminino	35-54 anos	2	417829	0.48	Armenia2014	0.733	11,609,512,940	4142	Generation X
Argentina	2014	feminino	25-34 anos	0	269937	0	Armenia2014	0.733	11,609,512,940	4142	Millenials
Argentina	2014	masculino	5-14 anos	0	196975	0	Armenia2014	0.733	11,609,512,940	4142	Generation Z
Argentina	2015	masculino	75+ anos	12	61355	19.56	Armenia2015		10,553,337,673	3775	Silent
Argentina	2015	masculino	55-74 anos	16	231213	6.92	Armenia2015		10,553,337,673	3775	Boomers
Argentina	2015	feminino	75+ anos	5	100754	4.96	Armenia2015		10,553,337,673	3775	Silent
Argentina	2015	masculino	35-54 anos	15	356715	4.21	Armenia2015		10,553,337,673	3775	Generation X
Argentina	2015	masculino	25-34 anos	10	255540	3.91	Armenia2015		10,553,337,673	3775	Millenials
Argentina	2015	feminino	55-74 anos	5	297936	1.68	Armenia2015		10,553,337,673	3775	Boomers
Argentina	2015	feminino	15-24 anos	3	212010	1.42	Armenia2015		10,553,337,673	3775	Millenials
Argentina	2015	feminino	35-54 anos	4	412360	0.97	Armenia2015		10,553,337,673	3775	Generation X
Argentina	2015	masculino	15-24 anos	2	216876	0.92	Armenia2015		10,553,337,673	3775	Millenials
Argentina	2015	feminino	25-34 anos	2	274108	0.73	Armenia2015		10,553,337,673	3775	Millenials
Argentina	2015	feminino	5-14 anos	0	175417	0	Armenia2015		10,553,337,673	3775	Generation Z
Argentina	2015	masculino	5-14 anos	0	201051	0	Armenia2015		10,553,337,673	3775	Generation Z
Argentina	2016	masculino	75+ anos	12	61956	19.37	Armenia2016		10,546,135,160	3788	Silent
Argentina	2016	masculino	55-74 anos	16	237813	6.73	Armenia2016		10,546,135,160	3788	Boomers
